# app	candidate official MCP docs/endpoint URL — probed by agent/verify_probe.py
Salesforce	https://developer.salesforce.com/docs/einstein/genai/guide/mcp.html
HubSpot	https://developers.hubspot.com/mcp
Zendesk	https://developer.zendesk.com/documentation/mcp/
Intercom	https://developers.intercom.com/docs/guides/mcp
Front	https://dev.frontapp.com/docs/mcp
Plain	https://www.plain.com/docs/mcp
Gorgias	https://developers.gorgias.com/docs/mcp
HelpScout	https://developer.helpscout.com/mcp/
Freshworks	https://developers.freshworks.com/mcp/
Gladly	https://developer.gladly.com/mcp
Pylon	https://docs.usepylon.com/pylon-docs/developer/mcp
Close	https://developer.close.com/mcp/
Copper	https://developer.copper.com/mcp
Pipedrive	https://developers.pipedrive.com/docs/api/v1/mcp
Attio	https://docs.attio.com/mcp/overview
Twenty	https://docs.twenty.com/developers/mcp
Podio	https://developers.podio.com/mcp
DealCloud	https://api.docs.dealcloud.com/
Slack	https://docs.slack.dev/ai/slack-mcp-server/
Twilio	https://www.twilio.com/docs/mcp
Lark	https://open.larksuite.com/document/mcp
Discord	https://discord.com/developers/docs/mcp
Telegram	https://core.telegram.org/mcp
Vonage	https://developer.vonage.com/en/mcp
GoogleAds	https://developers.google.com/google-ads/api/docs/get-started/introduction
Klaviyo	https://developers.klaviyo.com/en/docs/klaviyo_mcp_server
Mailchimp	https://mailchimp.com/developer/marketing/docs/mcp-server/
GoHighLevel	https://marketplace.gohighlevel.com/docs/mcp
Shopify	https://shopify.dev/docs/apps/build/devmcp
BigCommerce	https://developer.bigcommerce.com/docs/mcp
Magento	https://developer.adobe.com/commerce/services/mcp/
Squarespace	https://developers.squarespace.com/mcp
Ecwid	https://docs.ecwid.com/mcp
AmazonSP	https://developer-docs.amazon.com/sp-api/docs/mcp
DataForSEO	https://github.com/dataforseo/mcp-server-typescript
Apify	https://docs.apify.com/platform/integrations/mcp
Firecrawl	https://docs.firecrawl.dev/mcp-server
BrightData	https://docs.brightdata.com/mcp-server/overview
Ahrefs	https://ahrefs.com/mcp
GitHub	https://github.com/github/github-mcp-server
Vercel	https://vercel.com/docs/mcp/vercel-mcp
Netlify	https://docs.netlify.com/build/build-with-ai/netlify-mcp-server/
Cloudflare	https://developers.cloudflare.com/agents/model-context-protocol/mcp-servers-for-cloudflare/
Supabase	https://supabase.com/docs/guides/getting-started/mcp
Neo4j	https://neo4j.com/docs/mcp/
Snowflake	https://docs.snowflake.com/en/user-guide/snowflake-cortex/cortex-agents-mcp
MongoDB	https://www.mongodb.com/docs/mcp-server/
Datadog	https://docs.datadoghq.com/mcp_server/
Sentry	https://mcp.sentry.dev/
Notion	https://developers.notion.com/docs/mcp
Airtable	https://support.airtable.com/docs/using-the-airtable-mcp-server
Linear	https://linear.app/docs/mcp
Atlassian	https://support.atlassian.com/rovo/docs/getting-started-with-the-atlassian-remote-mcp-server/
Asana	https://developers.asana.com/docs/using-asanas-mcp-server
Monday	https://developer.monday.com/apps/docs/mondaycom-mcp-integration
ClickUp	https://developer.clickup.com/docs/mcp
Coda	https://coda.io/developers/mcp
Smartsheet	https://www.smartsheet.com/content-center/smartsheet-mcp-server-now-generally-available
Harvest	https://help.getharvest.com/api-v2/mcp
Stripe	https://docs.stripe.com/mcp
Plaid	https://plaid.com/docs/mcp/
Xero	https://github.com/XeroAPI/xero-mcp-server
Intuit	https://developer.intuit.com/app/developer/qbo/docs/develop/mcp
Ramp	https://docs.ramp.com/developer-api/v1/mcp
Devin	https://docs.devin.ai/work-with-devin/devin-mcp
Reducto	https://docs.reducto.ai/overview
Otter	https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server
Consensus	https://docs.consensus.app/docs/mcp
iPayX	https://www.ipayx.ai/docs/mcp-server
Grain	https://developers.grain.com/docs/mcp
Fathom	https://help.fathom.video/en/articles/8368641
TranscriptAPI	https://www.transcriptapi.com/
fanbasis	https://fanbasis.com/
